assessment status,Site_Latitude,Site_Longitude
complete,47.470881,-122.115365
complete,47.580039,-122.027908
complete,47.568482,-122.101419
complete,47.366939,-122.192972
complete,47.437947,-122.156284
complete,47.375743,-122.103371
complete,47.386265,-122.207944
complete,47.453687,-122.14211
complete,47.380272,-122.190391
complete,47.344451,-122.086855
complete,47.353775,-122.151312
complete,47.373244,-122.207731
complete,47.331882,-122.057209
complete,47.416331,-122.175259
complete,47.425725,-122.151822
complete,47.378647,-122.17147
complete,47.377373,-122.121028
complete,47.430985,-122.172821
complete,47.371803,-122.155252
complete,47.391758,-122.180536
complete,47.384957,-122.230083
complete,47.391344,-122.256772
complete,47.436891,-122.114538
complete,47.394958,-122.193039
complete,47.35229,-122.184979
complete,47.440575,-122.122252
complete,47.368581,-122.211003
complete,47.406168,-122.171561
complete,47.421017,-122.208396
complete,47.402707,-122.16461
complete,46.269594,-119.4892
complete,48.39395,-122.489941
complete,48.395635,-122.490209
complete,48.395943,-122.491133
complete,47.840484,-120.012572
complete,47.840417,-120.013373
complete,47.986669,-122.107756
complete,48.017805,-122.065146
complete,48.027371,-122.097136
complete,47.702058,-122.09847
complete,48.1473,-122.2086
complete,48.150392,-122.208391
complete,48.148687,-122.209005
complete,46.137423,-122.926997
complete,46.155713,-122.942562
complete,46.156186,-122.939053
complete,46.154435,-122.957655
complete,46.139237,-122.957278
complete,46.13077,-122.944975
complete,46.144816,-122.936334
complete,46.165573,-122.974388
complete,46.138504,-122.958033
complete,46.145003,-122.943937
complete,46.139456,-122.96197
complete,46.140501,-122.955273
complete,46.171176,-122.992588
complete,46.128352,-122.959792
complete,46.212475,-119.994926
complete,47.1993,-123.4322
complete,48.085427,-122.160481
complete,48.058327,-122.169246
complete,48.058936,-122.163735
complete,48.096282,-122.155503
complete,48.072686,-122.161661
complete,48.11833,-122.16206
complete,48.054748,-122.174951
complete,47.568532,-117.67814
complete,47.55349,-122.22217
complete,47.532625,-122.228996
complete,47.571793,-122.231066
complete,48.865362,-122.439804
complete,48.869314,-122.44523
complete,48.440863,-120.166558
complete,46.558385,-122.27904
complete,47.115554,-119.259174
complete,47.116148,-119.265548
complete,47.134826,-119.28554
