District Name,ICOS Site ID,Site Name,ICOS Bldg ID.No.,Building Name,Latitude,Longitude,FEMA Const. Type,Year Built,Last Renovation,Gross Area (SF),No. of Floors,"Structural Drawings Avail? (Yes, No, Partial)",Has Had Structural Upgrade?,Year of Structural Upgrade,Tsunami Risk,Vs30 Measured Site Class,Vs30 (m/s),"Sds, BSE-1N (g)",ASCE 41 Tier 1 Assessed By
Highline,21094,"Beverly Park @ GlendaleElementary School",55097,Multi-Purpose Building B,47.51,-122.318,RM1,1963,1992,"15,453",1,Y,No,,NO,C,443.2,1.23,WSP
Highline,21090,Chinook Middle School,55065,100 Building,47.435,-122.282,W2,1956,,"40,473",1,Y,No,,NO,C,469,1.16,
Highline,21090,Chinook Middle School,55067,200 Building,47.435,-122.282,W2,1956,,"14,953",1,Y,No,,NO,C,469,1.16,WSP
Highline,21090,Chinook Middle School,55063,300 Building - Gymnasium,47.435,-122.282,W2,1956,,"24,625",1,Y,No,,NO,C,469,1.16,
Highline,21090,Chinook Middle School,55066,400 Building - Cafeteria,47.435,-122.282,W2,1956,,"7,425",1,Y,No,,NO,C,469,1.16,WSP
Highline,21090,Chinook Middle School,55064,800 Building,47.435,-122.282,W2,1966,,"13,947",1,Y,No,,NO,C,469,1.16,
Highline,21109,Hilltop Elementary School,55177,100 Building - Bldg A,47.494,-122.302,RM1,1957,1989,"11,990",1,Y,No,,NO,D,332.9,1.02,WSP
Highline,21109,Hilltop Elementary School,55176,200 Building - Bldg B,47.494,-122.302,W2,1957,,"10,789",1,Y,No,,NO,D,332.9,1.02,
Highline,21109,Hilltop Elementary School,55178,300 Building - Bldg C,47.494,-122.302,W2,1958,,"11,541",1,Y,No,,NO,D,332.9,1.02,WSP
Highline,21109,Hilltop Elementary School,55175,400 Building - Bldg D,47.494,-122.302,W2,1998,,"19,880",1,Y,No,,NO,D,332.9,1.02,
Highline,21095,Seahurst Elementary School,55100,Main Building,47.472,-122.353,W2,1992,,"63,917",1,Y,No,,NO,C,504,1.24,WSP
Highline,21110,"Southern HeightsElementary School",55185,Building A,47.502,-122.315,W2,1955,1987,"11,595",1,Y,Yes,1987,NO,D,358,1.03,
Highline,21110,"Southern HeightsElementary School",55186,Building B,47.502,-122.315,W2,1956,1987,"9,558",1,Y,Yes,1987,NO,D,358,1.03,WSP
Highline,21110,"Southern HeightsElementary School",55188,"Building C -Admin/Multi Purpose",47.502,-122.315,RM1,1964,1987,"10,566",1,Y,No,1987,NO,D,358,1.03,
Highline,21103,Sylvester Middle School,55128,100 Building,47.458,-122.341,W2,1953,,"36,416",1,Y,No,,NO,D,293.3,1.02,WSP
Highline,21103,Sylvester Middle School,55131,200 Building,47.458,-122.341,C2a,1953,,"10,584",1,Y,No,,NO,D,293.3,1.02,
Highline,21103,Sylvester Middle School,55134,"300 Building -Gymnasium/Cafeteria",47.458,-122.341,C2a,1953,1969,"26,029",1,Y,No,,NO,D,293.3,1.02,WSP
Highline,21103,Sylvester Middle School,55130,400 Building,47.458,-122.341,C2a,1953,,"6,327",1,Y,No,,NO,D,293.3,1.02,
Highline,21103,Sylvester Middle School,55133,500 Building - Library,47.458,-122.341,C2a,1969,,"4,560",1,Y,No,,NO,D,293.3,1.02,WSP
Highline,21103,Sylvester Middle School,55129,600 Building,47.458,-122.341,C2a,1969,,"4,141",1,Y,No,,NO,D,293.3,1.02,
Highline,21103,Sylvester Middle School,55132,700 Building - Band/Drama,47.458,-122.341,C2a,1969,,"4,560",1,Y,No,,NO,D,293.3,1.02,WSP
Hockinson,21585,"Hockinson HeightsElementary School (East)",58331,Building 100 A,45.741,-122.467,RM1,1992,,"23,845",1,P,No,,NO,D,359,0.61,
Hockinson,21585,"Hockinson HeightsElementary School (East)",58332,Building 200 C,45.741,-122.467,W2,1975,1992,"13,934",1,P,No,,NO,D,359,0.61,WRK
Hockinson,21585,"Hockinson HeightsElementary School (East)",58328,Building 300 D,45.741,-122.467,W2,1975,1992,"10,154",1,P,No,,NO,D,359,0.61,
Hockinson,21585,"Hockinson HeightsElementary School (East)",58326,Building 400 B,45.741,-122.467,W2,1992,,"3,982",1,P,No,,NO,D,359,0.61,WRK
Hockinson,21585,"Hockinson HeightsElementary School (East)",58327,Building 500 E,45.741,-122.467,W2,1980,2000,"10,091",1,P,No,,NO,D,359,0.61,
Hockinson,21585,"Hockinson HeightsElementary School (East)",58329,Building 600 F,45.741,-122.467,W2,1980,2000,"5,254",1,P,No,,NO,D,359,0.61,WRK
Hockinson,21585,"Hockinson HeightsElementary School (East)",58325,Building 800 H,45.741,-122.467,W2,1975,2000,"6,904",1,P,No,,NO,D,359,0.61,
Hoquiam,21588,Central Elementary School,58356,Main Building,46.98,-123.889,C2,1952,2000,"38,946",1,P,No,,YES,E,168.4,1.33,WSP
Hoquiam,21589,Emerson Elementary School,58357,Main Building,46.981,-123.904,C2,1954,2002,"30,641",1,P,No,,YES,E,130.8,1.33,
Hoquiam,21586,Hoquiam High School,58347,D-Business Education,46.983,-123.91,W2,1966,,"9,513",1,P,No,,YES,D,242,1.02,WSP
Hoquiam,21586,Hoquiam High School,58345,F-Humanities,46.983,-123.91,W2,1966,,"11,954",1,P,No,,YES,D,242,1.02,
Hoquiam,21586,Hoquiam High School,58346,G-Little Theater,46.983,-123.91,RM1,1966,,"14,607",1,P,No,,YES,D,242,1.02,WSP
Kelso,21596,Coweeman Middle School,58393,Main Building,46.144,-122.889,W2,1961,,"76,925",1,Y,No,,NO,E,111.8,0.77,
Kelso,21597,Rose Valley Elementary School,58396,Main Building,46.098,-122.827,URM,1939,1984,"21,937",2,Y,No,,NO,C,423,0.69,WRK
La Center,20153,"La Center Elementary& Middle Schools",50901,"Building 300 -ES Main Building",45.861,-122.664,W2,1938,2004,"31,357",1,Y,No,,NO,D,353,0.63,
Lake Washington,21226,Dickinson Elementary School,55935,Main Building,47.669,-122.062,W2,1992,,"49,156",1,Y,No,,NO,C,499.3,1.01,RM
Lake Washington,21212,Einstein Elementary School,55836,Main Building,47.702,-122.098,S2a,1997,,"50,253",2,Y,No,,NO,C,450,1.01,
Lake Washington,21223,Emerson Campus,55920,Emerson,47.656,-122.194,W2,1982,,"28,187",1,Y,No,,NO,D,341.3,0.85,RM
Lake Washington,21201,Rockwell Elementary School,55771,Main Building,47.699,-122.126,RM1,1986,,"48,953",1,Y,No,,NO,D,353.3,0.84,
Lake Washington,21214,Wilder Elementary School,55846,Main Building,47.719,-122.041,W2,1989,,"49,154",1,Y,No,,NO,C,549.8,1.02,RM
Longview,21614,Mint Valley Elementary School,58459,Building A - 1,46.166,-122.974,RM1,1969,,"7,683",1,Y,No,,YES,E,159,0.79,
Longview,21614,Mint Valley Elementary School,58458,Building B - 2,46.166,-122.974,RM1,1969,,"7,046",1,Y,No,,YES,E,159,0.79,WRK
Longview,21614,Mint Valley Elementary School,58461,Building D - 4,46.166,-122.974,RM1,1969,,"6,427",1,Y,No,,YES,E,159,0.79,
Longview,21615,Mt. Solo Middle School,58466,Main Building,46.165,-123.02,RM1,2003,,"81,210",1,Y,No,,YES,E,142,0.8,WRK
Longview,21612,Northlake Elementary School,58447,Main Building,46.145,-122.944,W2,1954,,"32,363",1,N,No,,NO,D-E*,#N/A,0.78,
Longview,21607,Olympic Elementary School,58438,Annex Building,46.139,-122.962,W2,1958,,"6,583",1,N,No,,NO,E,159,0.78,WRK
Longview,21607,Olympic Elementary School,58436,Main Building,46.139,-122.962,W2,1950,,"27,618",1,N,No,,NO,E,159,0.78,
Longview,21607,Olympic Elementary School,58437,Multipurpose Building,46.139,-122.962,RM1,1958,,"8,323",1,N,No,,NO,E,159,0.78,WRK
Longview,21605,Robert Gray Elementary School,58432,Main Building,46.171,-122.993,RM2,1997,,"49,730",1,Y,No,,YES,E,119,0.8,
Lopez Island,21248,Lopez Elementary School,56065,Elementary,48.492,-122.897,W2,1978,,"24,469",1,Y,No,,NO,C,413.4,0.98,WRK
Lopez Island,21249,Lopez Middle High School,56067,Gym/Tech Building,48.492,-122.899,RM1,1988,,"19,750",1,Y,No,,NO,C,413.4,0.98,
Lopez Island,21249,Lopez Middle High School,56068,Junior Senior High Building,48.492,-122.899,W2,1930,,"13,724",1,N,No,,NO,C,413.4,0.98,WRK
Mary M Knight,20155,Mary M. Knight School,50921,Elementary School,47.199,-123.432,W2,1963,,"13,333",1,Y,No,,NO,C,427,1.25,
Mary M Knight,20155,Mary M. Knight School,50924,High School Building,47.199,-123.432,W2,1979,,"29,349",1,Y,No,,NO,C,427,1.25,WSP
Marysville,21255,Cascade Elementary School,56103,Unit A,48.085,-122.16,"RM1, W2",1955,,"12,730",1,Y,Yes,1972,NO,D,288.8,0.77,
Marysville,21255,Cascade Elementary School,56101,Unit B,48.085,-122.16,"RM1, W2",1955,,"12,110",1,Y,No,,NO,D,288.8,0.77,RM
Marysville,21255,Cascade Elementary School,56104,Unit C,48.085,-122.16,"RM1, W2",1956,,"4,976",1,Y,Yes,1972,NO,D,288.8,0.77,
Marysville,21255,Cascade Elementary School,56102,Unit D,48.085,-122.16,"RM1, W2",1956,,"7,868",1,Y,Yes,1972,NO,D,288.8,0.77,RM
Marysville,21268,"Marysville PilchuckSenior High School",56254,"Arts & Crafts Building -Bldg B",48.096,-122.155,RM1,1970,,"10,107",1,Y,No,,NO,D,304,0.77,
Marysville,21268,"Marysville PilchuckSenior High School",56248,Auditorium - Bldg K,48.096,-122.155,RM1,1970,,"30,632",1,Y,No,,NO,D,304,0.77,RM
Marysville,21268,"Marysville PilchuckSenior High School",56242,"Business Ed & HomeLearning - Bldg C",48.096,-122.155,RM1,1970,,"11,224",1,Y,No,,NO,D,304,0.77,
Marysville,21268,"Marysville PilchuckSenior High School",56240,East Building - Bldg H,48.096,-122.155,RM1,1970,,"8,606",1,Y,No,,NO,D,304,0.77,RM
Marysville,21268,"Marysville PilchuckSenior High School",56246,"Gym & New FoodCommons - Bldg M",48.096,-122.155,RM1,1970,,"58,730",2,Y,No,,NO,D,304,0.77,
Marysville,21268,"Marysville PilchuckSenior High School",56244,Library - Bldg J,48.096,-122.155,RM1,1970,,"19,772",1,Y,No,,NO,D,304,0.77,RM
Marysville,21268,"Marysville PilchuckSenior High School",56253,Life Science Building - Bldg F,48.096,-122.155,RM1,1970,,"10,225",1,N,No,,NO,D,304,0.77,
Marysville,21268,"Marysville PilchuckSenior High School",56235,"Mech Plant & FormerCafeteria - Bldg E",48.096,-122.155,RM1,1970,,"14,892",1,Y,No,,NO,D,304,0.77,RM
Marysville,21268,"Marysville PilchuckSenior High School",56245,"Occupational Center -Bldg A",48.096,-122.155,RM1,1970,,"15,494",1,Y,No,,NO,D,304,0.77,
Marysville,21268,"Marysville PilchuckSenior High School",56233,Pool Building - Bldg L,48.096,-122.155,RM1,1970,,"25,116",1,Y,No,,NO,D,304,0.77,RM
Marysville,21268,"Marysville PilchuckSenior High School",56247,South Building - Bldg N,48.096,-122.155,RM1,1984,,"9,169",1,N,No,,NO,D,304,0.77,
Marysville,21259,Pinewood Elementary School,56134,Bldg E,48.073,-122.162,RM1,1968,,"2,045",1,Y,No,,NO,D,243.9,0.78,RM
Marysville,21259,Pinewood Elementary School,56141,Bldg L (Library),48.073,-122.162,RM1,1968,,"3,747",1,Y,No,,NO,D,243.9,0.78,
Marysville,21259,Pinewood Elementary School,56139,Bldg M (Gym),48.073,-122.162,RM1,1968,,"8,086",1,Y,No,,NO,D,243.9,0.78,RM
Marysville,21259,Pinewood Elementary School,56135,Building A,48.073,-122.162,RM1,1968,,"2,492",1,Y,No,,NO,D,243.9,0.78,
Marysville,21259,Pinewood Elementary School,56142,Building D,48.073,-122.162,RM1,1968,,"3,568",1,Y,No,,NO,D,243.9,0.78,RM
Marysville,21265,"Quil Ceda TulalipElementary School",56204,Main Building,48.064,-122.199,W2,1997,,"48,195",1,Y,No,,NO,D,263,0.79,
